,country,2000_youth_literacy,2005_youth_literacy,2010_youth_literacy,2015_youth_literacy
XD,High income,,,,
XM,Low income,58.2377014160156,62.7431106567383,64.9581069946289,70.7230529785156
XN,Lower middle income,76.5000534057617,80.2861709594727,83.667610168457,87.4863510131836
XP,Middle income,87.1455917358398,89.3632278442383,90.8301391601563,92.4329299926758
XT,Upper middle income,97.6716384887695,98.3701477050781,98.4503707885742,98.5493698120117
1W,World,86.5740585327148,88.4752578735352,89.5674209594727,91.030143737793
